Brand,Age,kmDriven,Transmission,Owner,FuelType
Maruti Suzuki,9,124000.0,Manual,second,hybrid
Maruti Suzuki,5,74000.0,Manual,second,petrol
Toyota,11,125870.0,Manual,second,diesel
Kia,2,13000.0,Manual,first,diesel
Maruti Suzuki,5,45000.0,Automatic,first,petrol
Maruti Suzuki,10,85000.0,Manual,second,petrol
Honda,16,119000.0,Automatic,second,hybrid/cng
Toyota,10,70000.0,Automatic,first,diesel
Hyundai,14,110000.0,Manual,second,petrol
Honda,11,85000.0,Automatic,second,hybrid/cng
Ford,9,58000.0,Automatic,second,petrol
Maruti Suzuki,18,85000.0,Manual,second,petrol
Mercedes-Benz,3,32000.0,Automatic,first,petrol
Mahindra,12,142000.0,Manual,second,diesel
Hyundai,10,64000.0,Manual,second,hybrid
Hyundai,2,190000.0,Automatic,first,diesel
Maruti Suzuki,8,55962.0,Manual,second,hybrid/cng
Honda,11,95000.0,Automatic,second,petrol
Nissan,11,51000.0,Manual,second,petrol
Toyota,9,100000.0,Automatic,first,hybrid
Maruti Suzuki,7,52385.0,Automatic,first,hybrid/cng
Tata,4,60000.0,Manual,second,petrol
Hyundai,9,53000.0,Automatic,first,hybrid/cng
Honda,9,73000.0,Automatic,second,hybrid/cng
Maruti Suzuki,10,84000.0,Manual,second,petrol
Maruti Suzuki,1,33000.0,Automatic,first,petrol
Volvo,6,100000.0,Automatic,first,diesel
Mahindra,3,54128.0,Manual,first,diesel
Maruti Suzuki,1,16000.0,Automatic,first,petrol
Land Rover,5,71000.0,Automatic,second,diesel
Audi,9,68000.0,Automatic,first,diesel
Audi,9,78561.0,Automatic,first,diesel
Ford,4,94000.0,Manual,first,diesel
Toyota,11,120000.0,Automatic,second,hybrid/cng
Maruti Suzuki,12,77000.0,Manual,second,hybrid
Maruti Suzuki,12,105000.0,Automatic,second,hybrid/cng
Maruti Suzuki,15,66000.0,Manual,second,petrol
Maruti Suzuki,3,156000.0,Automatic,first,hybrid
Maruti Suzuki,6,39000.0,Automatic,second,petrol
Mercedes-Benz,7,86000.0,Automatic,first,petrol
Jeep,5,46000.0,Automatic,first,petrol
Tata,3,52000.0,Automatic,first,petrol
Chevrolet,8,65000.0,Automatic,first,diesel
Maruti Suzuki,0,12542.0,Automatic,first,hybrid
BMW,11,69382.0,Automatic,second,diesel
Maruti Suzuki,0,1234.0,Automatic,first,hybrid/cng
Toyota,5,65000.0,Automatic,first,diesel
Hyundai,8,82000.0,Manual,first,diesel
Maruti Suzuki,2,21000.0,Manual,first,petrol
Maruti Suzuki,13,85000.0,Manual,second,petrol
Hyundai,14,82487.0,Automatic,second,petrol
Maruti Suzuki,0,3000.0,Manual,first,hybrid/cng
Tata,1,9000.0,Automatic,first,diesel
Honda,5,19000.0,Automatic,second,petrol
Ford,8,134000.0,Automatic,first,diesel
Honda,14,107200.0,Automatic,second,hybrid
Maruti Suzuki,2,52000.0,Manual,first,hybrid
Skoda,13,60000.0,Manual,first,petrol
Ford,10,15.0,Automatic,second,diesel
Hyundai,11,77794.0,Automatic,second,petrol
Volkswagen,5,65000.0,Manual,first,petrol
Mercedes-Benz,7,66000.0,Automatic,second,diesel
Maruti Suzuki,4,300000.0,Automatic,first,hybrid/cng
Maruti Suzuki,12,100000.0,Manual,first,diesel
Mahindra,0,2600.0,Automatic,first,petrol
Toyota,8,65000.0,Automatic,first,hybrid/cng
Maruti Suzuki,8,170000.0,Automatic,first,hybrid
Honda,7,90000.0,Automatic,second,hybrid/cng
Toyota,7,100000.0,Automatic,second,diesel
Hyundai,9,94371.0,Manual,second,petrol
Maruti Suzuki,14,96000.0,Automatic,second,hybrid
Honda,7,52000.0,Automatic,first,hybrid/cng
Datsun,7,55000.0,Manual,first,petrol
BMW,6,64000.0,Automatic,second,diesel
Kia,1,20600.0,Manual,first,diesel
Honda,10,78000.0,Manual,second,diesel
Toyota,8,49500.0,Automatic,first,hybrid/cng
Maruti Suzuki,6,44197.0,Manual,second,hybrid/cng
Jeep,3,78000.0,Automatic,first,diesel
Maruti Suzuki,4,78311.0,Manual,first,hybrid
Mercedes-Benz,8,39000.0,Automatic,first,petrol
Maruti Suzuki,9,44000.0,Manual,second,hybrid
Hyundai,6,52000.0,Automatic,first,petrol
Ford,6,65000.0,Automatic,second,diesel
Maruti Suzuki,6,180000.0,Automatic,first,hybrid/cng
Maruti Suzuki,9,73000.0,Manual,second,hybrid
Skoda,10,96000.0,Automatic,first,diesel
Hyundai,10,50000.0,Automatic,first,hybrid
Mahindra,12,79000.0,Manual,second,diesel
Maruti Suzuki,5,73000.0,Automatic,second,hybrid
Maruti Suzuki,14,85000.0,Manual,second,hybrid
Mahindra,6,80000.0,Manual,second,diesel
Mahindra,2,75243.0,Manual,first,diesel
Honda,19,65460.0,Manual,second,petrol
Hyundai,7,53000.0,Manual,second,petrol
Renault,4,58000.0,Automatic,first,petrol
Hyundai,3,45000.0,Automatic,first,diesel
Maruti Suzuki,6,300000.0,Manual,first,petrol
Volkswagen,3,41900.0,Manual,first,petrol
Tata,10,164278.0,Manual,second,diesel
Audi,3,50000.0,Automatic,first,petrol
Toyota,11,65000.0,Manual,first,petrol
Maruti Suzuki,1,30000.0,Automatic,first,hybrid/cng
Maruti Suzuki,14,123300.0,Automatic,second,hybrid/cng
Maruti Suzuki,6,66000.0,Automatic,first,petrol
Nissan,5,54000.0,Automatic,first,hybrid
Toyota,8,61000.0,Automatic,second,petrol
Mercedes-Benz,6,51000.0,Automatic,first,diesel
Maruti Suzuki,9,54000.0,Manual,first,hybrid
Maruti Suzuki,7,300000.0,Manual,second,diesel
Toyota,12,93000.0,Manual,second,diesel
Maruti Suzuki,0,2000.0,Manual,first,hybrid/cng
Hyundai,14,46000.0,Automatic,first,petrol
Maruti Suzuki,4,50000.0,Manual,first,diesel
Maruti Suzuki,3,300000.0,Manual,first,petrol
Maruti Suzuki,2,55000.0,Automatic,first,hybrid/cng
Mahindra,5,57000.0,Automatic,second,diesel
Kia,3,37900.0,Automatic,first,diesel
Maruti Suzuki,8,36000.0,Manual,first,petrol
Ford,3,92000.0,Automatic,first,diesel
Tata,0,2500.0,Automatic,first,petrol
MG,3,24000.0,Automatic,first,petrol
Toyota,6,145000.0,Manual,second,diesel
Volkswagen,13,82000.0,Manual,second,hybrid
Maruti Suzuki,9,90000.0,Automatic,second,hybrid/cng
Toyota,7,158000.0,Manual,first,diesel
Honda,16,15.0,Automatic,second,hybrid
Maruti Suzuki,5,38032.0,Automatic,second,petrol
Skoda,3,25296.0,Automatic,first,petrol
Maruti Suzuki,8,139546.0,Manual,second,diesel
Maruti Suzuki,7,68900.0,Manual,second,hybrid
Toyota,3,30000.0,Automatic,first,petrol
Mahindra,4,75000.0,Manual,second,diesel
Hyundai,2,72000.0,Automatic,first,diesel
Maruti Suzuki,4,75000.0,Manual,second,petrol
Hyundai,10,65000.0,Manual,second,hybrid/cng
Hyundai,3,60000.0,Manual,second,diesel
Chevrolet,14,100000.0,Automatic,first,hybrid
Jeep,18,86000.0,Automatic,second,diesel
Mahindra,5,65000.0,Manual,first,diesel
Mahindra,11,115000.0,Automatic,first,diesel
Honda,7,63000.0,Automatic,first,petrol
Toyota,3,21000.0,Manual,first,diesel
Hyundai,8,80000.0,Manual,first,petrol
Mahindra,11,81000.0,Manual,first,diesel
Mini,10,24000.0,Automatic,first,diesel
Hyundai,7,64211.0,Manual,second,diesel
Toyota,3,90000.0,Manual,first,diesel
Jeep,2,15000.0,Automatic,first,petrol
Hyundai,7,81000.0,Automatic,first,petrol
Hyundai,7,300000.0,Automatic,first,petrol
Kia,3,90300.0,Automatic,first,diesel
Toyota,9,97000.0,Automatic,second,petrol
Mercedes-Benz,9,55368.0,Automatic,second,petrol
Maruti Suzuki,12,68200.0,Manual,first,petrol
Renault,4,105000.0,Manual,first,hybrid
Maruti Suzuki,13,65500.0,Manual,second,petrol
Maruti Suzuki,6,61000.0,Manual,second,diesel
Honda,3,34000.0,Automatic,first,petrol
Honda,7,84000.0,Manual,first,diesel
Mahindra,3,65000.0,Manual,second,diesel
Ford,11,75000.0,Manual,first,diesel
Honda,7,68000.0,Automatic,first,hybrid
Toyota,6,67000.0,Manual,second,diesel
Maruti Suzuki,5,20000.0,Automatic,first,hybrid
Tata,2,13000.0,Manual,first,petrol
Volkswagen,13,88000.0,Manual,second,petrol
Skoda,6,90000.0,Automatic,first,diesel
Mercedes-Benz,5,147000.0,Automatic,first,diesel
Hyundai,14,38278.0,Automatic,first,petrol
Hyundai,7,55000.0,Automatic,first,diesel
Porsche,7,57000.0,Automatic,second,petrol
Jeep,1,8000.0,Automatic,first,petrol
Maruti Suzuki,12,152643.0,Manual,first,petrol
Honda,14,62989.0,Manual,first,hybrid
Maruti Suzuki,5,98207.0,Manual,second,diesel
Toyota,4,15000.0,Automatic,first,petrol
Maruti Suzuki,4,58734.0,Automatic,second,petrol
Honda,10,75000.0,Manual,first,hybrid
Jaguar,5,41000.0,Automatic,first,diesel
Hyundai,2,9000.0,Manual,first,petrol
Maruti Suzuki,11,56000.0,Manual,first,petrol
Maruti Suzuki,3,64000.0,Automatic,first,hybrid/cng
Hyundai,6,65000.0,Manual,first,diesel
